Id,MS Zoning,Lot Area,Lot Shape,Land Contour,Lot Config,Land Slope,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Mas Vnr Type,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Mo Sold,Yr Sold,SalePrice,School
2752,RL,7488,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,7,5,2005,2005,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,393.0,Unf,815.0,1208.0,GasA,Ex,Y,SBrkr,1208,0,1208,0.0,0.0,2,0,2,1,Gd,6,Typ,0,Attchd,2005.0,RFn,2.0,632.0,TA,TA,Y,105,58,2,2006,183600,Edwards/Jr_H
1177,FV,2645,Reg,Lvl,Inside,Gtl,Somerst,Norm,Twnhs,2Story,8,5,1999,2000,Gable,MetalSd,MetalSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,813.0,Unf,147.0,960.0,GasA,Ex,Y,SBrkr,962,645,1607,1.0,0.0,2,1,3,1,Gd,7,Typ,0,Detchd,2000.0,Unf,2.0,480.0,TA,TA,Y,169,0,12,2008,200000,Fellows/HS
1480,RL,9627,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,7,5,2007,2007,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,24.0,Unf,1327.0,1351.0,GasA,Ex,Y,SBrkr,1361,0,1361,0.0,0.0,2,0,3,1,Gd,6,Typ,0,Attchd,2007.0,RFn,2.0,610.0,TA,TA,Y,0,50,6,2008,193000,Edwards/Jr_H
324,RL,10114,Reg,Lvl,Inside,Gtl,Mitchel,Norm,1Fam,1Story,5,5,2004,2005,Gable,VinylSd,VinylSd,None,TA,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,1430.0,1430.0,GasA,Ex,Y,SBrkr,1430,0,1430,0.0,0.0,2,0,3,1,Gd,7,Typ,0,Attchd,2004.0,RFn,2.0,624.0,TA,TA,Y,0,0,3,2010,173500,Mitchell
1311,RM,4571,Reg,Lvl,Inside,Gtl,OldTown,Norm,1Fam,2Story,5,5,1916,1950,Gable,AsbShng,AsbShng,None,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,624.0,624.0,GasA,Fa,N,SBrkr,624,720,1344,0.0,0.0,1,0,4,1,TA,7,Typ,0,Detchd,1916.0,Unf,3.0,513.0,Fa,Fa,Y,0,0,5,2008,98000,Meeke
770,RL,8816,Reg,Lvl,Corner,Gtl,Sawyer,Feedr,1Fam,1Story,5,6,1963,1963,Gable,VinylSd,VinylSd,None,TA,TA,PConc,TA,TA,No,Rec,651.0,Unf,470.0,1121.0,GasA,TA,Y,SBrkr,1121,0,1121,1.0,0.0,1,0,3,1,TA,5,Typ,0,Detchd,1963.0,Unf,2.0,480.0,TA,TA,Y,0,80,6,2009,139000,Sawyer
2063,RL,8197,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,6,5,1977,1977,Gable,Plywood,Plywood,BrkFace,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,660.0,660.0,GasA,Ex,Y,SBrkr,1285,0,1285,0.0,0.0,1,1,3,1,TA,7,Typ,1,Attchd,1977.0,RFn,2.0,528.0,TA,TA,Y,138,0,4,2007,143500,Sawyer
69,FV,8640,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,2Story,7,5,2009,2009,Gable,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,732.0,756.0,GasA,Ex,Y,SBrkr,764,783,1547,0.0,0.0,2,1,3,1,Gd,7,Typ,0,Attchd,2009.0,Unf,2.0,614.0,TA,TA,Y,169,45,6,2010,215200,Fellows/HS
2062,RL,8724,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,5,1968,1968,Gable,VinylSd,VinylSd,None,TA,TA,CBlock,Gd,TA,No,BLQ,492.0,Unf,402.0,894.0,GasA,Gd,Y,SBrkr,894,0,894,0.0,0.0,1,0,3,1,TA,5,Typ,1,Attchd,1968.0,Fin,2.0,450.0,TA,TA,Y,0,0,5,2007,129000,Sawyer
351,RL,5664,IR1,Lvl,Inside,Gtl,StoneBr,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CemntBd,CmentBd,None,Gd,TA,PConc,Gd,TA,No,GLQ,1158.0,Unf,343.0,1501.0,GasA,Ex,Y,SBrkr,1659,0,1659,1.0,0.0,2,0,2,1,Ex,5,Typ,1,Attchd,2000.0,Fin,2.0,499.0,TA,TA,Y,212,59,10,2009,278000,Fellows/HS
12,RL,7980,IR1,Lvl,Inside,Gtl,Gilbert,Norm,1Fam,1Story,6,7,1992,2007,Gable,HdBoard,HdBoard,None,TA,Gd,PConc,Gd,TA,No,ALQ,935.0,Unf,233.0,1168.0,GasA,Ex,Y,SBrkr,1187,0,1187,1.0,0.0,2,0,3,1,TA,6,Typ,0,Attchd,1992.0,Fin,2.0,420.0,TA,TA,Y,483,21,3,2010,185000,Fellows/HS
624,RL,10573,IR1,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,6,6,1961,1961,Hip,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,1312.0,Unf,141.0,1453.0,GasA,Ex,Y,SBrkr,1453,0,1453,1.0,0.0,2,0,3,1,TA,6,Typ,1,Attchd,1961.0,RFn,2.0,530.0,TA,TA,Y,0,49,4,2009,187500,Sawyer
86,RL,8450,Reg,Lvl,Inside,Gtl,Sawyer,RRAe,1Fam,1Story,5,8,1965,2009,Gable,MetalSd,MetalSd,None,TA,Gd,CBlock,TA,TA,No,GLQ,553.0,BLQ,224.0,894.0,GasA,Ex,Y,SBrkr,894,0,894,1.0,0.0,1,0,3,1,TA,5,Typ,1,Detchd,1973.0,Unf,1.0,336.0,TA,TA,Y,416,144,4,2010,138500,Sawyer
1534,RL,11700,IR1,HLS,Inside,Mod,Crawfor,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,WdShing,Wd Shng,None,TA,TA,CBlock,TA,TA,No,BLQ,606.0,Unf,336.0,942.0,GasA,Ex,Y,SBrkr,1265,673,1938,0.0,0.0,2,0,4,1,Gd,7,Min2,1,Detchd,1937.0,Unf,1.0,240.0,TA,TA,Y,0,40,7,2008,198000,Meeke
1957,RL,8064,Reg,Lvl,Corner,Gtl,NAmes,Artery,1Fam,1.5Fin,5,7,1949,2006,Gable,MetalSd,MetalSd,None,TA,Gd,CBlock,TA,TA,Mn,Unf,0.0,Unf,672.0,672.0,GasA,Ex,Y,SBrkr,672,252,924,0.0,0.0,1,0,3,1,TA,6,Typ,1,Detchd,2003.0,Unf,2.0,576.0,TA,TA,Y,0,0,7,2007,122900,Sawyer
380,RL,9600,Reg,Lvl,Inside,Gtl,NWAmes,PosN,1Fam,1Story,8,5,1981,1981,Hip,BrkFace,BrkFace,None,Gd,TA,PConc,Gd,TA,No,ALQ,1104.0,Unf,1420.0,2524.0,GasA,TA,Y,SBrkr,2524,0,2524,1.0,0.0,2,1,4,1,Gd,9,Typ,1,Attchd,1981.0,Fin,2.0,542.0,TA,TA,Y,474,120,7,2009,278000,Fellows/HS
2860,RL,11435,IR1,HLS,Corner,Mod,Crawfor,Norm,1Fam,2Story,8,7,1929,1950,Gable,BrkFace,Stucco,None,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,792.0,792.0,GasA,Fa,Y,SBrkr,792,725,1517,0.0,0.0,1,0,3,1,Gd,7,Typ,2,Detchd,1931.0,Unf,2.0,400.0,TA,TA,Y,0,0,6,2006,230000,Meeke
2517,RL,9549,IR1,Lvl,CulDSac,Gtl,Veenker,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,BrkFace,BrkFace,None,Gd,Gd,PConc,Gd,Gd,Av,LwQ,437.0,GLQ,0.0,1494.0,GasA,Ex,Y,SBrkr,1494,0,1494,1.0,0.0,1,1,2,1,Ex,6,Typ,1,Attchd,1995.0,Fin,2.0,481.0,TA,TA,Y,0,30,4,2006,270000,Fellows/HS
1933,RL,10950,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,6,1952,1952,Hip,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,ALQ,441.0,Unf,507.0,948.0,GasA,TA,Y,SBrkr,948,0,948,0.0,0.0,1,0,2,1,TA,5,Typ,0,Detchd,1952.0,Unf,2.0,410.0,TA,TA,N,0,48,4,2007,125000,Sawyer
820,RL,10637,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,8,5,2007,2008,Hip,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Gd,GLQ,1288.0,Unf,417.0,1705.0,GasA,Ex,Y,SBrkr,1718,0,1718,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Attchd,2007.0,RFn,3.0,826.0,TA,TA,Y,208,44,9,2009,297000,Edwards/Jr_H
675,RL,9000,IR1,HLS,Inside,Mod,NAmes,Norm,1Fam,1Story,6,6,1958,1958,Flat,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,Gd,TA,Gd,Unf,0.0,Unf,160.0,160.0,GasA,Fa,Y,SBrkr,1142,0,1142,0.0,0.0,1,0,2,1,TA,5,Typ,1,Basment,1958.0,RFn,1.0,384.0,TA,TA,Y,0,28,4,2009,113500,Sawyer
2910,RM,2665,Reg,Lvl,Inside,Gtl,MeadowV,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CemntBd,CmentBd,None,TA,TA,PConc,TA,TA,No,ALQ,548.0,Rec,36.0,757.0,GasA,Ex,Y,SBrkr,925,550,1475,0.0,0.0,2,0,4,1,TA,6,Typ,1,Attchd,1977.0,RFn,1.0,336.0,TA,TA,Y,104,26,7,2006,127000,Mitchell
21,RL,11751,IR1,Lvl,Inside,Gtl,NWAmes,Norm,1Fam,1Story,6,6,1977,1977,Hip,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,No,BLQ,705.0,Unf,1139.0,1844.0,GasA,Ex,Y,SBrkr,1844,0,1844,0.0,0.0,2,0,3,1,TA,7,Typ,1,Attchd,1977.0,RFn,2.0,546.0,TA,TA,Y,0,122,1,2010,190000,Fellows/HS
1873,RL,9600,Reg,Lvl,Inside,Gtl,NWAmes,Norm,1Fam,1Story,7,6,1973,1973,Hip,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,916.0,Unf,326.0,1242.0,GasA,Fa,Y,SBrkr,1242,0,1242,0.0,0.0,1,1,3,1,TA,6,Typ,1,Attchd,1973.0,Unf,2.0,528.0,TA,TA,Y,0,0,9,2007,175500,Fellows/HS
2125,RL,8428,IR2,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,5,7,1994,1994,Gable,VinylSd,VinylSd,None,TA,Gd,PConc,Gd,Gd,No,GLQ,420.0,Unf,570.0,990.0,GasA,Ex,Y,SBrkr,990,0,990,1.0,0.0,1,0,3,1,TA,5,Typ,0,Detchd,1995.0,Unf,1.0,384.0,TA,TA,Y,256,0,7,2007,146000,Edwards/Jr_H
1489,RL,9937,Reg,Lvl,Inside,Gtl,Edwards,Norm,1Fam,1Story,5,6,1965,1965,Gable,HdBoard,HdBoard,None,Gd,TA,CBlock,TA,TA,No,BLQ,830.0,LwQ,136.0,1256.0,GasA,Gd,Y,SBrkr,1256,0,1256,1.0,0.0,1,1,3,1,TA,6,Typ,0,Attchd,1965.0,Fin,1.0,276.0,TA,TA,Y,736,68,6,2008,147500,Edwards/Jr_H
983,RL,9101,IR1,Lvl,Corner,Gtl,Mitchel,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,Plywood,Plywood,BrkFace,TA,Gd,PConc,Gd,TA,Av,GLQ,1097.0,Unf,0.0,1097.0,GasA,Ex,Y,SBrkr,1110,0,1110,1.0,0.0,1,0,1,1,Gd,4,Typ,1,Attchd,1978.0,Fin,2.0,602.0,TA,TA,Y,303,30,7,2009,165500,Mitchell
1325,RM,12150,Reg,Lvl,Inside,Gtl,OldTown,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,MetalSd,MetalSd,BrkFace,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,1050.0,1050.0,GasA,Ex,N,FuseF,1050,745,1795,0.0,0.0,2,0,4,1,TA,7,Typ,0,Attchd,1954.0,Unf,1.0,352.0,Fa,TA,Y,0,0,11,2008,131500,Meeke
1378,RL,11200,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,5,1965,1965,Hip,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Rec,906.0,Unf,134.0,1040.0,GasA,Ex,Y,SBrkr,1040,0,1040,1.0,0.0,1,0,3,1,TA,5,Typ,0,Detchd,1965.0,Unf,1.0,384.0,TA,TA,Y,0,0,2,2008,129500,Sawyer
1537,RL,9670,IR1,HLS,Inside,Mod,Crawfor,Norm,1Fam,2Story,8,6,1935,1950,Gable,BrkFace,Stucco,Stone,TA,TA,PConc,TA,Fa,No,LwQ,210.0,Unf,398.0,608.0,GasA,TA,Y,SBrkr,983,890,1873,0.0,0.0,1,1,4,1,TA,9,Typ,2,Detchd,1935.0,Fin,2.0,786.0,Fa,TA,Y,0,0,6,2008,257076,Meeke
905,RL,10998,Reg,Lvl,Inside,Gtl,Edwards,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,LwQ,408.0,BLQ,156.0,984.0,GasA,Ex,Y,SBrkr,984,620,1604,0.0,0.0,2,0,3,1,TA,6,Min2,0,Detchd,1977.0,Unf,2.0,660.0,TA,TA,Y,0,68,7,2009,117000,Edwards/Jr_H
1532,RL,7200,Reg,HLS,Inside,Mod,Crawfor,Norm,1Fam,2Story,7,6,1931,2000,Gable,Stucco,Wd Shng,None,TA,Fa,BrkTil,Gd,TA,No,Unf,0.0,Unf,776.0,776.0,GasA,TA,Y,SBrkr,851,651,1502,0.0,0.0,1,1,3,1,TA,6,Typ,1,Attchd,1931.0,RFn,1.0,270.0,TA,TA,P,0,0,2,2008,149000,Meeke
132,RL,9920,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,5,1954,1954,Gable,HdBoard,HdBoard,Stone,TA,TA,CBlock,TA,TA,No,Rec,354.0,LwQ,412.0,1056.0,GasA,TA,Y,SBrkr,1063,0,1063,1.0,0.0,1,0,3,1,TA,6,Typ,0,Attchd,1954.0,RFn,1.0,280.0,TA,TA,Y,0,0,2,2010,128000,Sawyer
1078,RL,2448,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Twnhs,2Story,7,5,2003,2004,Gable,VinylSd,Wd Shng,Stone,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,764.0,764.0,GasA,Ex,Y,SBrkr,764,862,1626,0.0,0.0,2,1,2,1,Gd,6,Typ,0,BuiltIn,2003.0,RFn,2.0,474.0,TA,TA,Y,0,27,10,2008,155000,Fellows/HS
2511,FV,2998,Reg,Lvl,Inside,Gtl,Somerst,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,MetalSd,MetalSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,353.0,Unf,403.0,756.0,GasA,Ex,Y,SBrkr,768,756,1524,0.0,0.0,2,1,2,1,Gd,4,Typ,0,Detchd,2000.0,Unf,2.0,440.0,TA,TA,Y,0,32,6,2006,166000,Fellows/HS
912,RL,7804,Reg,Lvl,Inside,Gtl,SWISU,Norm,1Fam,1.5Fin,4,3,1928,1950,Gable,WdShing,Plywood,None,TA,TA,BrkTil,TA,TA,No,BLQ,622.0,Unf,500.0,1122.0,GasA,TA,Y,SBrkr,1328,653,1981,1.0,0.0,2,0,4,1,Gd,7,Min2,2,Detchd,1981.0,Unf,2.0,576.0,TA,TA,Y,431,44,12,2009,135000,Uni
2351,RL,16692,IR1,Lvl,Inside,Gtl,NWAmes,RRAn,1Fam,2Story,7,5,1978,1978,Gable,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,No,BLQ,790.0,LwQ,133.0,1392.0,GasA,TA,Y,SBrkr,1392,1392,2784,1.0,0.0,3,1,5,1,Gd,12,Typ,2,Attchd,1978.0,RFn,2.0,564.0,TA,TA,Y,0,112,7,2006,250000,Fellows/HS
2586,RL,10170,Reg,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,6,6,1951,1951,Hip,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,216.0,216.0,GasA,TA,Y,SBrkr,1575,0,1575,0.0,0.0,1,1,2,1,Gd,5,Typ,1,Attchd,1951.0,Unf,2.0,400.0,TA,TA,Y,0,0,6,2006,155000,Sawyer
224,RL,9364,Reg,Lvl,Corner,Gtl,Sawyer,Norm,1Fam,2Story,6,7,1969,1969,Gable,HdBoard,HdBoard,Stone,TA,TA,CBlock,TA,TA,No,ALQ,371.0,Unf,292.0,663.0,GasA,TA,Y,SBrkr,663,689,1352,0.0,0.0,1,1,4,1,TA,7,Typ,0,Attchd,1969.0,Fin,1.0,299.0,TA,TA,Y,379,36,3,2010,158000,Sawyer
98,FV,2544,Reg,Lvl,Inside,Gtl,Somerst,Norm,Twnhs,2Story,7,5,2004,2005,Gable,MetalSd,MetalSd,None,Gd,TA,PConc,Gd,TA,No,GLQ,368.0,ALQ,190.0,600.0,GasA,Ex,Y,SBrkr,600,600,1200,1.0,0.0,2,1,2,1,Gd,4,Typ,0,Detchd,2004.0,RFn,2.0,480.0,TA,TA,Y,0,172,2,2010,149500,Fellows/HS
2565,RL,9888,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,1954,1975,Gable,MetalSd,MetalSd,None,TA,Gd,CBlock,TA,TA,No,BLQ,486.0,Unf,450.0,936.0,GasA,TA,Y,FuseA,936,0,936,0.0,0.0,1,0,2,1,TA,5,Typ,0,Attchd,1954.0,Unf,1.0,240.0,TA,TA,Y,0,0,3,2006,121000,Sawyer
1934,RL,7942,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,7,1953,1953,Hip,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,Rec,85.0,ALQ,0.0,1040.0,GasA,TA,Y,FuseF,1040,0,1040,0.0,1.0,1,0,3,1,TA,6,Typ,0,Attchd,1953.0,Fin,1.0,293.0,TA,TA,Y,0,0,6,2007,136000,Sawyer
997,RL,15038,IR2,Lvl,Corner,Gtl,Gilbert,Norm,1Fam,2Story,6,5,1996,1996,Gable,HdBoard,HdBoard,None,TA,TA,PConc,Gd,TA,No,Rec,138.0,Unf,778.0,916.0,GasA,Gd,Y,SBrkr,916,720,1636,0.0,0.0,2,1,3,1,TA,7,Typ,1,Attchd,1996.0,Fin,2.0,386.0,TA,TA,Y,168,84,11,2008,173000,Fellows/HS
64,RL,11764,IR1,Lvl,CulDSac,Gtl,NoRidge,Norm,1Fam,2Story,8,7,1999,2007,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,524.0,Unf,628.0,1152.0,GasA,Ex,Y,SBrkr,1164,1106,2270,0.0,0.0,2,1,4,1,Gd,9,Typ,1,Attchd,1999.0,Fin,3.0,671.0,TA,TA,Y,132,57,4,2010,290000,Fellows/HS
1799,FV,9000,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,2Story,8,5,2007,2007,Gable,CemntBd,CmentBd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,64.0,Unf,1120.0,1184.0,GasA,Ex,Y,SBrkr,1184,1426,2610,0.0,0.0,2,1,4,1,Ex,11,Typ,1,BuiltIn,2007.0,Fin,2.0,550.0,TA,TA,Y,208,364,8,2007,303477,Fellows/HS
230,RL,20062,IR1,Low,Inside,Mod,ClearCr,Norm,1Fam,1Story,7,7,1977,2001,Hip,Wd Sdng,Wd Sdng,None,Gd,Gd,CBlock,Gd,TA,Gd,ALQ,1092.0,Unf,328.0,1420.0,GasA,Gd,Y,SBrkr,1483,0,1483,1.0,0.0,1,1,1,1,TA,4,Typ,2,Attchd,1977.0,RFn,2.0,690.0,TA,TA,Y,496,0,4,2010,270000,Sawyer
1295,RM,7308,Reg,Lvl,Corner,Gtl,OldTown,Artery,1Fam,1.5Fin,5,5,1920,1950,Gable,WdShing,Wd Shng,None,Fa,Fa,BrkTil,TA,TA,No,Rec,360.0,Unf,576.0,936.0,GasA,Gd,N,FuseA,960,780,1740,0.0,0.0,1,0,2,1,Ex,6,Typ,1,Detchd,1920.0,Unf,1.0,225.0,Fa,Fa,N,0,0,6,2008,122250,Meeke
638,RL,8750,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,5,1955,1955,Gable,AsbShng,AsbShng,None,TA,TA,CBlock,TA,TA,No,Rec,172.0,LwQ,727.0,1382.0,GasA,Gd,Y,FuseA,1382,0,1382,0.0,1.0,1,0,3,1,Gd,6,Typ,0,Attchd,1955.0,Unf,1.0,350.0,TA,TA,Y,280,0,7,2009,153000,Sawyer
2202,RL,4000,Reg,Lvl,Inside,Gtl,Crawfor,Norm,1Fam,2Story,7,8,1930,1995,Gable,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,Gd,TA,No,GLQ,246.0,Unf,285.0,531.0,GasA,TA,Y,SBrkr,567,531,1098,1.0,0.0,1,0,2,1,TA,5,Typ,1,Detchd,1930.0,Unf,1.0,216.0,TA,TA,Y,0,0,6,2007,148500,Meeke
